iter	Passed	Remaining
830	3977	808
831	3981	804
832	3986	799
833	3991	794
834	3995	789
835	4000	784
836	4005	780
837	4010	775
838	4014	770
839	4019	765
840	4023	760
841	4029	756
842	4033	751
843	4038	746
844	4043	741
845	4048	736
846	4053	732
847	4057	727
848	4062	722
849	4067	717
850	4072	713
851	4077	708
852	4081	703
853	4086	698
854	4091	693
855	4096	689
856	4101	684
857	4106	679
858	4110	674
859	4115	669
860	4120	665
861	4124	660
862	4130	655
863	4135	650
864	4139	646
865	4143	641
866	4148	636
867	4152	631
868	4157	626
869	4162	621
870	4166	617
871	4171	612
872	4176	607
873	4180	602
874	4185	597
875	4189	593
876	4194	588
877	4199	583
878	4204	578
879	4208	573
880	4213	569
881	4218	564
882	4222	559
883	4227	554
884	4232	549
885	4237	545
886	4241	540
887	4246	535
888	4251	530
889	4255	526
890	4260	521
891	4265	516
892	4270	511
893	4275	506
894	4279	502
895	4285	497
896	4289	492
897	4294	487
898	4298	482
899	4303	478
900	4308	473
901	4312	468
902	4317	463
903	4322	459
904	4327	454
905	4332	449
906	4337	444
907	4341	439
908	4346	435
909	4350	430
910	4355	425
911	4359	420
912	4364	415
913	4369	411
914	4373	406
915	4378	401
916	4383	396
917	4387	391
918	4392	387
919	4397	382
920	4402	377
921	4406	372
922	4411	368
923	4416	363
924	4421	358
925	4425	353
926	4430	348
927	4435	344
928	4440	339
929	4444	334
930	4449	329
931	4453	324
932	4458	320
933	4463	315
934	4467	310
935	4472	305
936	4477	301
937	4482	296
938	4487	291
939	4491	286
940	4496	281
941	4501	277
942	4505	272
943	4510	267
944	4515	262
945	4519	258
946	4524	253
947	4529	248
948	4534	243
949	4539	238
950	4543	234
951	4548	229
952	4553	224
953	4557	219
954	4563	215
955	4567	210
956	4572	205
957	4577	200
958	4582	195
959	4587	191
960	4591	186
961	4596	181
962	4601	176
963	4606	172
964	4610	167
965	4615	162
966	4619	157
967	4624	152
968	4628	148
969	4633	143
970	4638	138
971	4643	133
972	4648	128
973	4652	124
974	4656	119
975	4661	114
976	4666	109
977	4670	105
978	4675	100
979	4680	95
980	4684	90
981	4689	85
982	4694	81
983	4699	76
984	4704	71
985	4708	66
986	4713	62
987	4718	57
988	4723	52
